Table 1.2.1. Percent Change From Preceding Period in Real Gross Domestic Product by Major Type of Product
Table 1.2.1. Percent Change From Preceding Period in Real Gross Domestic Product by Major Type of Product
"Last Revised on: February 20, 2026 - Next Release Date March 13, 2026"
Line,,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
18,"    Gross domestic product excluding final sales of computers",4.3,1.6,0.3,-3.8,-1.9,3.0,1.8,1.1,4.9,4.1,3.8,4.2,0.4,2.3,1.7,5.4,3.8,5.5,2.2,4.3,0.9,0.7,3.1,2.1,2.5,6.5,3.2,3.9,2.1,6.3,4.5,3.3,3.7,3.3,4.7,6.2,3.4,3.0,5.1,6.8,1.0,7.1,0.3,2.2,-1.7,2.7,-1.4,0.9,3.4,2.5,1.5,0.4,2.0,3.6,6.5,4.6,2.5,3.2,3.8,4.0,4.5,1.8,3.1,2.1,5.3,0.9,0.5,3.4,1.2,2.4,2.1,2.4,-1.7,2.3,-2.1,-8.6,-4.6,-0.7,1.6,4.5,1.8,4.0,3.1,2.1,-1.0,2.7,-0.2,4.5,3.3,1.8,0.5,0.4,4.0,1.1,3.5,3.5,-1.4,5.2,5.0,2.2,3.6,2.4,1.6,0.7,2.2,1.3,2.9,2.3,2.0,2.2,3.2,4.5,3.2,2.1,2.6,0.4,2.4,3.4,4.8,2.8,-5.3,-27.9,34.7,4.6
19,"    Gross domestic purchases excluding final sales of computers to domestic purchasers",4.2,1.0,0.0,-5.2,-2.6,2.3,1.9,1.1,4.4,4.7,3.5,5.0,1.1,2.6,2.3,5.9,4.3,5.6,1.9,4.5,1.2,0.5,1.3,2.0,3.6,6.7,4.4,2.1,3.2,6.0,5.2,4.3,5.0,4.9,5.5,6.0,4.6,3.7,5.6,7.1,2.5,7.3,1.2,2.7,-1.7,2.0,-0.6,1.5,3.6,3.0,1.9,1.9,1.7,4.1,6.1,4.4,2.9,4.3,4.2,4.2,4.1,1.7,3.2,2.6,4.6,0.7,1.0,1.6,1.0,2.0,1.0,0.6,-2.2,0.2,-2.6,-7.6,-6.5,-3.3,1.8,4.3,2.2,5.5,3.9,1.0,-1.0,1.8,-0.2,4.9,2.7,1.5,0.7,-0.4,3.5,1.6,3.3,2.3,0.1,5.4,4.7,3.1,5.0,2.8,2.3,1.0,2.2,1.0,2.5,3.3,1.6,2.5,2.9,4.9,2.9,1.8,3.9,1.0,1.9,3.7,4.5,1.2,-5.3,-27.7,38.1,5.9
20,"    Research and development",5.2,3.8,1.8,0.7,2.5,4.6,-3.0,5.7,-1.0,-1.7,-3.7,-1.8,0.7,-0.6,-1.7,-4.5,0.0,2.2,3.8,1.9,-0.2,5.1,2.6,7.7,6.4,4.7,6.3,7.0,6.2,0.1,2.5,2.0,8.8,4.9,6.8,0.7,6.1,7.2,11.0,3.6,10.3,1.5,6.8,3.7,2.7,4.8,0.8,0.0,-1.5,3.8,0.8,6.8,3.5,1.6,-0.5,0.6,0.9,4.4,5.7,2.2,11.7,1.4,4.0,-3.9,5.2,9.0,15.1,10.7,-2.3,2.8,-1.4,7.9,2.4,4.4,-6.2,1.2,-11.8,9.3,2.7,5.6,-7.5,-2.4,5.6,4.2,0.6,2.0,2.1,4.2,-4.5,-1.3,0.0,4.6,9.5,0.5,3.8,-1.6,-1.1,7.4,5.6,11.7,-5.3,0.8,6.9,9.4,8.6,7.5,3.3,-1.0,6.4,-1.9,4.9,4.0,4.8,8.5,2.9,10.3,6.9,9.9,7.7,8.2,6.0,-10.6,11.5,5.7
21,"    Gross domestic product excluding research and development",4.4,1.4,0.2,-3.7,-2.0,3.1,2.2,1.3,5.1,4.6,4.2,4.4,0.7,2.4,2.0,5.8,4.0,5.6,2.3,4.7,1.5,1.1,3.5,2.6,2.9,6.9,3.6,4.1,2.5,7.0,5.2,3.5,3.9,3.7,5.1,6.8,3.8,3.3,5.3,6.8,1.2,7.7,0.2,2.4,-1.4,2.5,-1.7,1.1,3.5,2.4,1.7,0.3,2.1,3.6,7.0,4.8,2.3,3.1,3.8,4.2,4.3,2.0,3.1,2.4,5.5,0.8,0.2,3.3,1.3,2.5,2.4,2.4,-1.8,2.3,-2.0,-8.7,-4.2,-1.0,1.4,4.4,2.2,4.1,3.0,2.1,-1.0,2.8,-0.2,4.6,3.6,1.9,0.6,0.3,3.8,1.1,3.4,3.7,-1.4,5.2,4.9,1.8,3.9,2.6,1.5,0.5,2.1,1.1,2.9,2.3,1.8,2.4,3.1,4.6,3.2,1.9,2.5,0.3,2.4,3.2,4.7,2.6,-5.5,-28.5,35.8,4.6
22,"    Final sales of domestic product, current dollars",9.2,4.7,4.6,1.5,2.3,6.4,4.0,1.8,8.6,5.4,6.3,7.1,2.1,5.6,5.5,7.3,4.2,5.5,6.4,5.7,4.5,4.7,6.8,4.4,5.7,7.4,4.0,7.4,4.3,5.8,8.0,4.4,3.4,8.0,6.2,7.5,4.1,7.2,6.7,7.2,7.1,7.0,4.1,4.8,4.7,4.2,0.7,4.3,1.6,3.1,3.4,2.6,4.4,6.3,9.0,6.0,4.9,5.5,6.9,7.2,6.9,7.4,7.5,3.3,8.8,4.7,3.4,6.1,5.8,4.7,4.5,4.7,1.0,4.6,0.7,-6.4,-2.4,-0.1,2.1,1.4,1.7,4.9,2.3,5.8,2.0,4.7,4.3,2.0,6.5,3.2,3.0,3.9,4.2,2.0,4.2,6.3,1.7,6.6,6.6,2.9,1.4,5.5,3.3,1.2,3.0,4.8,4.5,3.1,5.2,2.9,4.7,7.4,6.1,5.9,2.3,2.4,3.4,6.2,6.4,4.9,-2.2,-25.5,29.6,7.7

Legend/Footnotes
"1. Prior to 1959, inventories held by construction establishments are included in nondurable goods. Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification (SIC); later estimates for these industries are based on the North American Industry Classification System (NAICS)."
"2. Includes government consumption expenditures, which are for services (such as education and national defense) produced by government. In current dollars, these services are valued at their cost of production."
3. Some components of final sales of computers include computer parts.
