INDNO,DlyCalDt,DlyTotRet,DlyTotInd,DlyIncRet,DlyUsdCnt,DlyTotVal
1000500,1990-06-28,0.007224,641.60,0.000086,500,2349336278
1000500,1990-06-29,0.001157,642.34,0.000195,500,2349498440
1000500,1990-07-02,0.004429,645.19,0.000019,500,2359860178
1000500,1990-07-03,0.001856,646.38,0.000424,500,2363240609
1000500,1990-07-05,-0.011935,638.67,0.000160,500,2334657614
1000500,1990-07-06,0.007770,643.63,0.000000,500,2352798653
1000500,1990-07-09,0.002916,645.51,0.000088,500,2359451333
1000500,1990-07-10,-0.007709,640.53,0.000013,500,2341231324
1000500,1990-07-11,0.012528,648.56,0.000012,500,2370534310
1000500,1990-07-12,0.011559,656.05,0.000000,500,2397935157
1000500,1990-07-13,0.004507,659.01,0.000000,500,2408742147
1000500,1990-07-16,0.004851,662.21,0.000210,500,2419923164
1000500,1990-07-17,-0.003624,659.81,0.000024,500,2411097231
1000500,1990-07-18,-0.009066,653.83,0.000037,500,2389150458
1000500,1990-07-19,0.003020,655.80,0.000016,500,2396325517
1000500,1990-07-20,-0.009813,649.37,0.000010,500,2372784647
1000500,1990-07-23,-0.017775,637.82,0.000104,500,2330360612
1000500,1990-07-24,0.001099,638.52,0.000005,500,2332908769
1000500,1990-07-25,0.003631,640.84,0.000080,500,2341191193
1000500,1990-07-26,-0.003092,638.86,0.000079,500,2333766436
1000500,1990-07-27,-0.006872,634.47,0.000165,500,2317343032
1000500,1990-07-30,0.006146,638.37,0.000246,500,2331015603
1000500,1990-07-31,0.001727,639.47,0.000358,500,2334209117
1000500,1990-08-01,-0.001418,638.56,0.000045,500,2330764167
1000500,1990-08-02,-0.011685,631.10,0.000164,500,2303144787
1000500,1990-08-03,-0.016758,620.53,0.000165,500,2264167860
1000500,1990-08-06,-0.032141,600.58,0.000686,500,2189842276
1000500,1990-08-07,0.002066,601.82,0.000465,500,2193349084
1000500,1990-08-08,0.010836,608.34,0.000016,500,2217081339
1000500,1990-08-09,0.005360,611.61,0.000244,500,2228422668
1000500,1990-08-10,-0.012869,603.73,0.000301,500,2199073313
1000500,1990-08-13,0.010021,609.78,0.000315,500,2220418240
1000500,1990-08-14,0.001348,610.61,0.000152,500,2222682916
1000500,1990-08-15,0.002539,612.16,0.000071,500,2228169018
1000500,1990-08-16,-0.022855,598.17,0.000204,500,2176788787
1000500,1990-08-17,-0.013592,590.04,0.000007,500,2147187867
1000500,1990-08-20,0.001711,591.05,0.000198,500,2150438041
1000500,1990-08-21,-0.019682,579.41,0.000113,500,2107870557
1000500,1990-08-22,-0.016613,569.79,0.000037,500,2072774968
1000500,1990-08-23,-0.030100,552.64,0.000023,500,2010614877
1000500,1990-08-24,0.015299,561.09,0.000010,500,2041355455
1000500,1990-08-27,0.032041,579.07,0.000389,500,2105966756
1000500,1990-08-28,0.000009,579.07,0.000372,500,2105202665
1000500,1990-08-29,0.008780,584.16,0.000067,500,2123545277
1000500,1990-08-30,-0.016655,574.43,0.000025,500,2088124033
1000500,1990-08-31,0.012032,581.34,0.000304,500,2112582919
1000500,1990-09-04,0.001809,582.39,0.000253,499,2117066680
1000500,1990-09-05,0.003861,584.64,0.000000,500,2125240538
1000500,1990-09-06,-0.012028,577.61,0.000058,500,2099553497
1000500,1990-09-07,0.009374,583.02,0.000006,500,2119218442
1000500,1990-09-10,-0.005269,579.95,0.000451,500,2107096756
1000500,1990-09-11,-0.001056,579.34,0.000169,500,2103158033
1000500,1990-09-12,0.003950,581.63,0.000005,500,2111454587
1000500,1990-09-13,-0.011783,574.77,0.000006,500,2086561647
1000500,1990-09-14,-0.005968,571.34,0.000031,500,2074043317
1000500,1990-09-17,0.002891,572.99,0.000039,500,2079957812
1000500,1990-09-18,0.003333,574.90,0.000262,500,2086346808
1000500,1990-09-19,-0.006414,571.22,0.000002,500,2072960873
1000500,1990-09-20,-0.015777,562.21,0.000227,500,2040596662
1000500,1990-09-21,-0.000652,561.84,0.000000,500,2039265513
1000500,1990-09-24,-0.021160,549.95,0.000456,500,1995184419
1000500,1990-09-25,0.012375,556.76,0.000106,500,2019663989
1000500,1990-09-26,-0.010318,551.01,0.000031,500,1998763960
1000500,1990-09-27,-0.013375,543.64,0.000182,500,1971667814
1000500,1990-09-28,0.016658,552.70,0.000010,500,2002928581
1000500,1990-10-01,0.030032,569.30,0.000339,500,2062402015
